SEMANA;PLANTA;GRUPO_VARIEDAD;ID_CALIBRE;KILOS_ESTIMADOS
202352;GF MALLOA;LA;LXJSYABCD;52494,05928
202352;GF MALLOA;LA;LXJSZABCD;122723,1087
202352;GF MALLOA;LA;LXJSYWABCD;83747,81885
202352;GF MALLOA;LA;LXJSYZABCD;175217,168
202352;GF MALLOA;LA;LXJSYZWABCD;184185,6221
202352;GF MALLOA;LA;LXJSZWABCD;131691,5628
202352;GF MALLOA;LA;LXJSWABCDE;32898,69428
202352;GF MALLOA;LA;LXJSYABCDE;55256,90451
202352;GF MALLOA;LA;LXJSZABCDE;129182,2197
202352;GF MALLOA;LA;LXJSYWABCDE;88155,59879
202352;GF MALLOA;LA;LXJSYZABCDE;184439,1242
202352;GF MALLOA;LA;LXJSYZWABCDE;193879,6022
202352;GF MALLOA;LA;LXJSZWABCDE;138622,6977
202352;GF MALLOA;LA;LXJSWBB;4934,804142
202352;GF MALLOA;LA;LXJSYBB;8288,535676
202352;GF MALLOA;LA;LXJSZBB;19377,33295
202352;GF MALLOA;LA;LXJSYWBB;13223,33982
202352;GF MALLOA;LA;LXJSYZBB;27665,86863
202352;GF MALLOA;LA;LXJSYZWBB;29081,94033
202352;GF MALLOA;LA;LXJSZWBB;20793,40466
202352;GF MALLOA;LA;LXJSWBC;8224,67357
202352;GF MALLOA;LA;LXJSYBC;13814,22613
202352;GF MALLOA;LA;LXJSZBC;32295,55492
202352;GF MALLOA;LA;LXJSYWBC;22038,8997
202352;GF MALLOA;LA;LXJSYZBC;46109,78105
202352;GF MALLOA;LA;LXJSYZWBC;48469,90056
202352;GF MALLOA;LA;LXJSZWBC;34655,67443
202352;GF MALLOA;LA;LXJSWBCD;11514,543
202352;GF MALLOA;LA;LXJSYBCD;19339,91658
202352;GF MALLOA;LA;LXJSZBCD;45213,77689
202352;GF MALLOA;LA;LXJSYWBCD;30854,45958
202352;GF MALLOA;LA;LXJSYZBCD;64553,69347
202352;GF MALLOA;LA;LXJSYZWBCD;67857,86078
202352;GF MALLOA;LA;LXJSZWBCD;48517,9442
202352;GF MALLOA;LA;LXJSWBCDE;13159,47771
202352;GF MALLOA;LA;LXJSYBCDE;22102,7618
202352;GF MALLOA;LA;LXJSZBCDE;51672,88787
202352;GF MALLOA;LA;LXJSYWBCDE;35262,23952
202352;GF MALLOA;LA;LXJSYZBCDE;73775,64968
202352;GF MALLOA;LA;LXJSYZWBCDE;77551,84089
202352;GF MALLOA;LA;LXJSZWBCDE;55449,07908
202352;GF MALLOA;LA;LXJSWCC;3289,869428
202352;GF MALLOA;LA;LXJSYCC;5525,690451
202352;GF MALLOA;LA;LXJSZCC;12918,22197
202352;GF MALLOA;LA;LXJSYWCC;8815,559879
202352;GF MALLOA;LA;LXJSYZCC;18443,91242
202352;GF MALLOA;LA;LXJSYZWCC;19387,96022
202352;GF MALLOA;LA;LXJSZWCC;13862,26977
202352;GF MALLOA;LA;LXJSWCD;6579,738856
202352;GF MALLOA;LA;LXJSYCD;11051,3809
202352;GF MALLOA;LA;LXJSZCD;25836,44394
202352;GF MALLOA;LA;LXJSYWCD;17631,11976
202352;GF MALLOA;LA;LXJSYZCD;36887,82484
202352;GF MALLOA;LA;LXJSYZWCD;38775,92044
202352;GF MALLOA;LA;LXJSZWCD;27724,53954
202352;GF MALLOA;LA;LXJSWCDE;8224,67357
202352;GF MALLOA;LA;LXJSYCDE;13814,22613
202352;GF MALLOA;LA;LXJSZCDE;32295,55492
202352;GF MALLOA;LA;LXJSYWCDE;22038,8997
202352;GF MALLOA;LA;LXJSYZCDE;46109,78105
202352;GF MALLOA;LA;LXJSYZWCDE;48469,90056
202352;GF MALLOA;LA;LXJSZWCDE;34655,67443
202352;GF MALLOA;LA;LXJSWDD;3289,869428
202352;GF MALLOA;LA;LXJSYDD;5525,690451
202352;GF MALLOA;LA;LXJSZDD;12918,22197
202352;GF MALLOA;LA;LXJSYWDD;8815,559879
202352;GF MALLOA;LA;LXJSYZDD;18443,91242
202352;GF MALLOA;LA;LXJSYZWDD;19387,96022
202352;GF MALLOA;LA;LXJSZWDD;13862,26977
202352;GF MALLOA;LA;LXJSWDE;4934,804142
202352;GF MALLOA;LA;LXJSYDE;8288,535676
202352;GF MALLOA;LA;LXJSZDE;19377,33295
202352;GF MALLOA;LA;LXJSYWDE;13223,33982
202352;GF MALLOA;LA;LXJSYZDE;27665,86863
202352;GF MALLOA;LA;LXJSYZWDE;29081,94033
202352;GF MALLOA;LA;LXJSZWDE;20793,40466
202352;GF MALLOA;LA;LXJSWEE;1644,934714
202352;GF MALLOA;LA;LXJSYEE;2762,845225
202352;GF MALLOA;LA;LXJSZEE;6459,110984
202352;GF MALLOA;LA;LXJSYWEE;4407,779939
202352;GF MALLOA;LA;LXJSYZEE;9221,956209
202352;GF MALLOA;LA;LXJSYZWEE;9693,980111
202352;GF MALLOA;LA;LXJSZWEE;6931,134886
202352;GF MALLOA;LA;LXJSPWAA;22337,94936
202352;GF MALLOA;LA;LXJSPYAA;42405,33833
202352;GF MALLOA;LA;LXJSPZAA;102731,2784
202352;GF MALLOA;LA;LXJSPYWAA;64743,28769
202352;GF MALLOA;LA;LXJSPYZAA;145136,6168
202352;GF MALLOA;LA;LXJSPYZWAA;153399,6364
202352;GF MALLOA;LA;LXJSPZWAA;110994,2981
202352;GF MALLOA;LA;LXJSPWAB;27922,4367
202352;GF MALLOA;LA;LXJSPYAB;53006,67292
202352;GF MALLOA;LA;LXJSPZAB;128414,0981
202352;GF MALLOA;LA;LXJSPYWAB;80929,10962
202352;GF MALLOA;LA;LXJSPYZAB;181420,771
